quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,429,0,0,2,3,11,57,416,240,52731,0.785156,1.210938,0.000000,1.339844,0.589844,0.285896,3.320312,2.916016,4.719467,1.234375,1.484375,2.679443,3.937256,6723.000000,7812.000000,1
22,146,0,1,2,0,2,17,416,240,52731,0.367188,0.328125,1.140625,0.000000,0.000000,0.217346,0.523438,1.183594,2.029236,4.250000,0.937500,31.562500,1.558594,4306.000000,3450.000000,1
22,44,0,1,1,0,4,0,416,240,52731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.625000,1.125000,21.984375,2.234375,2830.000000,3463.000000,1
22,1845,0,0,0,9,21,311,416,240,52731,4.971680,4.234375,2.765625,5.000000,7.886719,3.477138,14.731445,16.083008,73.810722,2.882812,2.710938,22.837830,53.064880,2180.000000,22576.000000,1
22,241,0,2,0,9,4,30,416,240,52731,0.304688,0.000000,0.890625,0.000000,0.328125,0.132385,1.559570,1.274414,2.584900,0.945312,0.875000,12.942322,7.109375,11594.000000,4079.000000,1
22,740,0,0,1,9,9,136,416,240,52731,1.738281,0.000000,4.875000,1.210938,0.867188,3.474380,4.986328,5.636719,18.661972,0.546875,0.609375,0.669678,1.050537,4520.000000,11561.000000,1
22,603,0,0,1,6,9,97,416,240,52731,1.370117,0.000000,0.671875,0.585938,4.222656,2.779170,3.782227,3.805664,11.660865,0.843750,1.203125,1.397461,1.864990,2996.000000,8466.000000,1
22,1454,0,1,0,9,10,315,416,240,52731,3.916016,2.292969,2.250000,7.617188,3.503906,4.819599,9.849609,10.871094,43.567165,0.796875,0.546875,1.724365,0.919678,14662.000000,16547.000000,1
22,1963,0,0,1,9,10,378,416,240,48826,5.513672,5.871094,4.457031,5.394531,6.332031,0.482037,15.155273,12.405273,64.783020,3.578125,3.296875,13.837646,11.646240,5028.000000,4343.000000,1
22,1690,0,1,0,3,9,340,416,240,48826,4.800781,5.101562,3.707031,5.117188,5.277344,0.403496,13.053711,11.100586,70.634140,2.945312,3.617188,13.098572,18.923767,12059.000000,12446.000000,1
